"region","drivmedel","månad","Antal"
"Riket","diesel","2009M09",8603
"Riket","diesel","2009M10",9984
"Riket","diesel","2009M11",9021
"Riket","diesel","2009M12",9459
"Riket","diesel","2010M01",7270
"Riket","diesel","2010M02",9329
"Riket","diesel","2010M03",13018
"Riket","diesel","2010M04",13255
"Riket","diesel","2010M05",12561
"Riket","diesel","2010M06",15028
"Riket","diesel","2010M07",10887
"Riket","diesel","2010M08",11695
"Riket","diesel","2010M09",13998
"Riket","diesel","2010M10",14729
"Riket","diesel","2010M11",15027
"Riket","diesel","2010M12",17485
"Riket","diesel","2011M01",12281
"Riket","diesel","2011M02",13524
"Riket","diesel","2011M03",18311
"Riket","diesel","2011M04",17958
"Riket","diesel","2011M05",19373
"Riket","diesel","2011M06",17940
"Riket","diesel","2011M07",12922
"Riket","diesel","2011M08",15410
"Riket","diesel","2011M09",17006
"Riket","diesel","2011M10",16285
"Riket","diesel","2011M11",17472
"Riket","diesel","2011M12",16671
"Riket","diesel","2012M01",13223
"Riket","diesel","2012M02",14908
"Riket","diesel","2012M03",19715
"Riket","diesel","2012M04",16400
"Riket","diesel","2012M05",18266
"Riket","diesel","2012M06",17755
"Riket","diesel","2012M07",12338
"Riket","diesel","2012M08",14458
"Riket","diesel","2012M09",15885
"Riket","diesel","2012M10",16830
"Riket","diesel","2012M11",17432
"Riket","diesel","2012M12",18209
"Riket","diesel","2013M01",11067
"Riket","diesel","2013M02",11928
"Riket","diesel","2013M03",14794
"Riket","diesel","2013M04",16610
"Riket","diesel","2013M05",17216
"Riket","diesel","2013M06",15160
"Riket","diesel","2013M07",11590
"Riket","diesel","2013M08",13489
"Riket","diesel","2013M09",15331
"Riket","diesel","2013M10",15604
"Riket","diesel","2013M11",15328
"Riket","diesel","2013M12",17321
"Riket","diesel","2014M01",12357
"Riket","diesel","2014M02",13743
"Riket","diesel","2014M03",16948
"Riket","diesel","2014M04",17480
"Riket","diesel","2014M05",17613
"Riket","diesel","2014M06",18172
"Riket","diesel","2014M07",12920
"Riket","diesel","2014M08",14172
"Riket","diesel","2014M09",15352
"Riket","diesel","2014M10",16934
"Riket","diesel","2014M11",15746
"Riket","diesel","2014M12",16562
"Riket","diesel","2015M01",12547
"Riket","diesel","2015M02",14838
"Riket","diesel","2015M03",19333
"Riket","diesel","2015M04",18486
"Riket","diesel","2015M05",17953
"Riket","diesel","2015M06",19833
"Riket","diesel","2015M07",14472
"Riket","diesel","2015M08",15292
"Riket","diesel","2015M09",16795
"Riket","diesel","2015M10",18570
"Riket","diesel","2015M11",18781
"Riket","diesel","2015M12",19500
"Riket","diesel","2016M01",12599
"Riket","diesel","2016M02",15453
"Riket","diesel","2016M03",18776
"Riket","diesel","2016M04",19140
"Riket","diesel","2016M05",18971
"Riket","diesel","2016M06",20206
"Riket","diesel","2016M07",12890
"Riket","diesel","2016M08",13721
"Riket","diesel","2016M09",16291
"Riket","diesel","2016M10",17016
"Riket","diesel","2016M11",16472
"Riket","diesel","2016M12",19522
"Riket","diesel","2017M01",12923
"Riket","diesel","2017M02",15169
"Riket","diesel","2017M03",19984
"Riket","diesel","2017M04",16570
"Riket","diesel","2017M05",18678
"Riket","diesel","2017M06",20206
"Riket","diesel","2017M07",12384
"Riket","diesel","2017M08",14618
